,title,rating,name,num_ratings,num_reviews,num_followers,synopsis,genre
20,"The Happiness Project: Or Why I Spent a Year Trying to Sing in the Morning, Clean My Closets, Fight Right, Read Aristotle, and Generally Have More Fun",3.64,Gretchen Rubin,"1,62,167","13,571","68,473 followers","Gretchen Rubin had an epiphany one rainy afternoon in the unlikeliest of places: a city bus. “The days are long, but the years are short,” she realized. “Time is passing, and I’m not focusing enough on the things that really matter.” In that moment, she decided to dedicate a year to her happiness project.

In this lively and compelling account, Rubin chronicles her adventures during the twelve months she spent test-driving the wisdom of the ages, current scientific research, and lessons from popular culture about how to be happier. Among other things, she found that novelty and challenge are powerful sources of happiness; that money can help buy happiness, when spent wisely; that outer order contributes to inner calm; and that the very smallest of changes can make the biggest difference. (less)",self-help
21,Big Magic: Creative Living Beyond Fear,3.94,Elizabeth Gilbert,"1,86,870","14,880","30,574 followers","Readers of all ages and walks of life have drawn inspiration and empowerment from Elizabeth Gilbert’s books for years. Gilbert offers insights into the mysterious nature of inspiration. She asks us to embrace our curiosity and let go of needless suffering. She shows us how to tackle what we most love, and how to face down what we most fear. She discusses the attitudes, approaches, and habits we need in order to live our most creative lives. Balancing between soulful spirituality and cheerful pragmatism, Gilbert encourages us to uncover the “strange jewels” that are hidden within each of us. Whether we are looking to write a book, make art, find new ways to address challenges in our work, embark on a dream long deferred, or simply infuse our everyday lives with more mindfulness and passion, Big Magic cracks open a world of wonder and joy. (less)",self-help
22,The 4-Hour Workweek,3.92,Timothy Ferriss,"2,56,970","8,264","9,252 followers","What do you do? Tim Ferriss has trouble answering the question. Depending on when you ask this controversial Princeton University guest lecturer, he might answer: ""I race motorcycles in Europe."" ""I ski in the Andes."" ""I scuba dive in Panama."" ""I dance tango in Buenos Aires."" He has spent more than five years learning the secrets of the New Rich, a fast-growing subculture who has abandoned the ""deferred-life plan"" and instead mastered the new currencies-time and mobility-to create luxury lifestyles in the here and now. Whether you are an overworked employee or an entrepreneur trapped in your own business, this book is the compass for a new and revolutionary world.

Join Tim Ferriss as he teaches you:
- How to outsource your life to overseas virtual assistants for $5 per hour and do whatever you want?
- How blue-chip escape artists travel the world without quitting their jobs?
- How to eliminate 50% of your work in 48 hours using the principles of a forgotten Italian economist?
- How to trade a long-haul career for short work bursts and freuent ""mini-retirements""?
- What the crucial difference is between absolute and relative income?
- How to train your boss to value performance over presence, or kill your job (or company) if it's beyond repair?
- What automated cash-flow ""muses"" are and how to create one in 2 to 4 weeks?
- How to cultivate selective ignorance-and create time-with a low-information diet?
- What the management secrets of Remote Control CEOs are?
- How to get free housing worldwide and airfare at 50-80% off?
- How to fill the void and create a meaningful life after removing work and the office (less)",self-help
23,Getting Things Done: The Art of Stress-Free Productivity,4,David Allen,"1,47,590","5,895","1,246 followers","In today's world, yesterday's methods just don't work. In Getting Things Done, veteran coach and management consultant David Allen shares the breakthrough methods for stress-free performance that he has introduced to tens of thousands of people across the country. Allen's premise is simple: our productivity is directly proportional to our ability to relax. Only when our minds are clear and our thoughts are organized can we achieve effective productivity and unleash our creative potential. In Getting Things Done Allen shows how to:

* Apply the ""do it, delegate it, defer it, drop it"" rule to get your in-box to empty
* Reassess goals and stay focused in changing situations
* Plan projects as well as get them unstuck
* Overcome feelings of confusion, anxiety, and being overwhelmed
* Feel fine about what you're not doing

From core principles to proven tricks, Getting Things Done can transform the way you work, showing you how to pick up the pace without wearing yourself down. (less)",self-help
24,Mindset: The New Psychology of Success,4.08,Carol S. Dweck,"1,24,022","9,463","1,710 followers","A newer edition of this book can be found here.

After decades of research, world-renowned Stanford University psychologist Carol S. Dweck, Ph.D., discovered a simple but groundbreaking idea: the power of mindset. In this brilliant book, she shows how success in school, work, sports, the arts, and almost every area of human endeavor can be dramatically influenced by how we think about our talents and abilities. People with a fixed mindset — those who believe that abilities are fixed — are less likely to flourish than those with a growth mindset — those who believe that abilities can be developed. Mindset reveals how great parents, teachers, managers, and athletes can put this idea to use to foster outstanding accomplishment.

In this edition, Dweck offers new insights into her now famous and broadly embraced concept. She introduces a phenomenon she calls false growth mindset and guides people toward adopting a deeper, truer growth mindset. She also expands the mindset concept beyond the individual, applying it to the cultures of groups and organizations. With the right mindset, you can motivate those you lead, teach, and love — to transform their lives and your own. (less)",self-help
25,Outliers: The Story of Success,4.18,Malcolm Gladwell,"6,93,286","29,862","32,046 followers","Learn what sets high achievers apart -- from Bill Gates to the Beatles -- in this #1 bestseller from ""a singular talent"" (New York Times Book Review).

In this stunning book, Malcolm Gladwell takes us on an intellectual journey through the world of ""outliers""--the best and the brightest, the most famous and the most successful. He asks the question: what makes high-achievers different?

His answer is that we pay too much attention to what successful people are like, and too little attention to where they are from: that is, their culture, their family, their generation, and the idiosyncratic experiences of their upbringing. Along the way he explains the secrets of software billionaires, what it takes to be a great soccer player, why Asians are good at math, and what made the Beatles the greatest rock band.

Brilliant and entertaining, Outliers is a landmark work that will simultaneously delight and illuminate. (less)",self-help
26,How to Stop Worrying and Start Living,4.15,Dale Carnegie,"95,889","3,561","7,195 followers","The book 'How to stop worrying & start living' suggest many ways to conquer worry and lead a wonderful life.

The book mentions fundamental facts to know about worry and magic formula for solving worry-some situations.

Psychologists & Doctors' view:

-Worry can make even the most stolid person ill.

-Worry may cause nervous breakdown.

-Worry can even cause tooth decay

-Worry is one of the factors for High Blood Pressure.

-Worry makes you tense and nervous and affect the nerves of your stomach.

The book suggests basic techniques in analysing worry, step by step, in order to cope up with them.

A very interesting feature of the book is 'How to eliminate 50% of your business worries'.

The book offers 7 ways to cultivate a mental attitude that will bring you peace and happiness. Also, the golden rule for conquering worry, keeping your energy & spirits high.

The book consists of some True Stories which will help the readers in conquering worry to lead you to success in life.

The book is full of similar incidences and narrations which will make our readers to understand the situation in an easy way and lead a happy life. A must read book for everyone. (less)",self-help
27,Essentialism: The Disciplined Pursuit of Less,4.04,Greg McKeown,"86,256","7,534","1,664 followers","Have you ever found yourself stretched too thin?
Do you simultaneously feel overworked and underutilized?
Are you often busy but not productive?
 Do you feel like your time is constantly being hijacked by other people’s agendas?

If you answered yes to any of these, the way out is the Way of the EssentialistThe Way of the Essentialist isn’t about getting more done in less time. It’s about getting only the right things done.  It is not  a time management strategy, or a productivity technique. It is a systematic discipline for discerning what is absolutely essential, then eliminating everything that is not, so we can make the highest possible contribution towards the things that really matter. 

By forcing us to apply a more selective criteria for what is Essential, the disciplined pursuit of less empowers us to reclaim control of our own choices about where to spend our precious time and energy – instead of giving others the implicit permission to choose for us.

Essentialism is not one more thing – it’s a whole new way of doing everything. A must-read for any leader, manager, or individual who wants to learn who to do less, but better, in every area of their lives, Essentialism  is a movement whose time has come. (less)",self-help
28,"Girl, Wash Your Face: Stop Believing the Lies about Who You Are So You Can Become Who You Were Meant to Be",3.61,Rachel Hollis,"2,24,936","19,135","31,841 followers","With wry wit and hard-earned wisdom, popular online personality and founder of TheChicSite.com founder Rachel Hollis helps readers break free from the lies keeping them from the joy-filled and exuberant life they are meant to have.

Founder of the lifestyle website TheChicSite.com and CEO of her own media company, Chic Media, Rachel Hollis has created an online fan base of hundreds of thousands of fans by sharing tips for living a better life while fearlessly revealing the messiness of her own. Now comes her highly anticipated first book featuring her signature combination of honesty, humor, and direct, no-nonsense advice.

Each chapter of Girl, Wash Your Face begins with a specific lie Hollis once believed that left her feeling overwhelmed, unworthy, or ready to give up. As a working mother, a former foster parent, and a woman who has dealt with insecurities about her body and relationships, she speaks with the insight and kindness of a BFF, helping women unpack the limiting mind-sets that destroy their self-confidence and keep them from moving forward.

From her temporary obsession with marrying Matt Damon to a daydream involving hypnotic iguanas to her son's request that she buy a necklace to ""be like the other moms,"" Hollis holds nothing back. With unflinching faith and tenacity, Hollis spurs other women to live with passion and hustle and to awaken their slumbering goals. (less)",self-help
29,"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",3.92,Dan Harris,"97,535","7,159","1,820 followers","After having a nationally televised panic attack, Dan Harris knew he had to make some changes. A lifelong nonbeliever, he found himself on a bizarre adventure involving a disgraced pastor, a mysterious self-help guru, and a gaggle of brain scientists. Eventually, Harris realized that the source of his problems was the very thing he always thought was his greatest asset: the incessant, insatiable voice in his head, which had propelled him through the ranks of a hypercompetitive business, but had also led him to make the profoundly stupid decisions that provoked his on-air freak-out.

Eventually Harris stumbled upon an effective way to rein in that voice, something he always assumed to be either impossible or useless: meditation, a tool that research suggests can do everything from lower your blood pressure to essentially rewire your brain. ""10% Happier"" takes readers on a ride from the outer reaches of neuroscience to the inner sanctum of network news to the bizarre fringes of America's spiritual scene, and leaves them with a takeaway that could actually change their lives. (less)",self-help
